Camera,Microscope,Objective Lens,Magnification,Image Width,Image Height,Pixel Distance,Scale,Unit
Canon EOS R6 Mark II,MP-E,MP-E 65mm f/2.8,1.5x,6000,4000,753,3,mm
Canon EOS R6 Mark II,MP-E,MP-E 65mm f/2.8,2.0x,6000,4000,1005,3,mm
Canon EOS R6 Mark II,MP-E,MP-E 65mm f/2.8,2.5x,6000,4000,850,2,mm
Canon EOS R6 Mark II,MP-E,MP-E 65mm f/2.8,3.0x,6000,4000,1010,2,mm
Canon EOS R6 Mark II,MP-E,MP-E 65mm f/2.8,3.5x,6000,4000,1168,2,mm
Canon EOS R6 Mark II,MP-E,MP-E 65mm f/2.8,4.0x,6000,4000,671,1,mm
Canon EOS R6 Mark II,MP-E,MP-E 65mm f/2.8,4.5x,6000,4000,751,1,mm
Canon EOS R6 Mark II,MP-E,MP-E 65mm f/2.8,5.0x,6000,4000,840,1,mm
Canon EOS R6 Mark II,Laowa,Laowa 85mm f/5.6,0.5x,6000,4000,830,10,mm
Canon EOS R6 Mark II,Laowa,Laowa 85mm f/5.6,1.0x,6000,4000,792,4,mm
Canon EOS R6 Mark II,Laowa,Laowa 85mm f/5.6,1.5x,6000,4000,1112,4,mm
Canon EOS R6 Mark II,Laowa,Laowa 85mm f/5.6,2.0x,6000,4000,975,3,mm
Canon EOS R6 Mark II,Laowa,Laowa 25mm f/2.8,2.5x,6000,4000,864,2,mm
Canon EOS R6 Mark II,Laowa,Laowa 25mm f/2.8,3.0x,6000,4000,974,2,mm
Canon EOS R6 Mark II,Laowa,Laowa 25mm f/2.8,3.5x,6000,4000,1140,2,mm
Canon EOS R6 Mark II,Laowa,Laowa 25mm f/2.8,4.0x,6000,4000,658,1,mm
Canon EOS R6 Mark II,Laowa,Laowa 25mm f/2.8,4.5x,6000,4000,740,1,mm
Canon EOS R6 Mark II,Laowa,Laowa 25mm f/2.8,5.0x,6000,4000,804,1,mm
Canon EOS R6 Mark II,Novoflex Extension Bellow,Laowa 25mm f/2.8,1x,6000,4000,1159,1000,µm
Canon EOS R6 Mark II,Novoflex Extension Bellow,Laowa 25mm f/2.8,2x,6000,4000,1227,1000,µm
Canon EOS R6 Mark II,Novoflex Extension Bellow,Laowa 25mm f/2.8,3x,6000,4000,1296,1000,µm
Canon EOS R6 Mark II,Novoflex Extension Bellow,Laowa 25mm f/2.8,4x,6000,4000,1363,1000,µm
Canon EOS R6 Mark II,Novoflex Extension Bellow,Laowa 25mm f/2.8,5x,6000,4000,717,500,µm
Canon EOS R6 Mark II,Novoflex Extension Bellow,Laowa 25mm f/2.8,6x,6000,4000,750,500,µm
Canon EOS R6 Mark II,Novoflex Extension Bellow,Laowa 25mm f/2.8,7x,6000,4000,782,500,µm
Canon EOS R6 Mark II,Novoflex Extension Bellow,Laowa 25mm f/2.8,8x,6000,4000,833,500,µm
Canon EOS R6 Mark II,Mitutoyo,Mitutoyo HR 5.0x,5.0x,6000,4000,892,1000,µm
Canon EOS R6 Mark II,Mitutoyo,Mitutoyo 7.5x,7.5x,6000,4000,673,500,µm
Canon EOS R6 Mark II,Mitutoyo,Mitutoyo HR 10x,10.0x,6000,4000,444,250,µm
Canon EOS R6 Mark II,Mitutoyo,Mitutoyo 20x,20.0x,6000,4000,708,200,µm
Canon EOS R5,Zeiss Axio Scope A1,Neofluar 1.25x,1.25x,8192,5464,730,1000,µm
Canon EOS R5,Zeiss Axio Scope A1,Neofluar 2.5x,2.5x,8192,5464,737,500,µm
Canon EOS R5,Zeiss Axio Scope A1,Apochromat 5x,5x,8192,5464,1138,500,µm
Canon EOS R5,Zeiss Axio Scope A1,Apochromat 10x,10x,8192,5464,1144,200,µm
Canon EOS R5,Zeiss Axio Scope A1,Apochromat 20x,20x,8192,5464,1147,100,µm
Canon EOS R5,Zeiss Axio Scope A1,Apochromat 40x,40x,8192,5464,1131,50,µm
Canon EOS R5,Zeiss Axio Scope A1,Neofluar 40x Oil,40x,8192,5464,1120,50,µm
Canon EOS R5,Zeiss Axio Scope A1,Apochromat 40x Oil,40x,8192,5464,1136,50,µm
Canon EOS R5,Zeiss Axio Scope A1,Neofluar 63x Oil,63x,8192,5464,884,25,µm
Canon EOS R5,Zeiss Axio Scope A1,Apochromat 63x Oil,63x,8192,5464,892,25,µm
Canon EOS R5,Zeiss Axio Scope A1,Achroplan 100x,100x,8192,5464,1133,20,µm
Canon EOS R5,Zeiss Axio Scope A1,Neofluar 100x,100x,8192,5464,1143,20,µm
Canon EOS R5,Laowa,Laowa 25mm f/2.8,2.5x,8192,5464,1188,2,mm
Canon EOS R5,Laowa,Laowa 25mm f/2.8,3.0x,8192,5464,674,1000,µm
Canon EOS R5,Laowa,Laowa 25mm f/2.8,3.5x,8192,5464,783,1000,µm
Canon EOS R5,Laowa,Laowa 25mm f/2.8,4.0x,8192,5464,898,1000,µm
Canon EOS R5,Laowa,Laowa 25mm f/2.8,4.5x,8192,5464,1012,1000,µm
Canon EOS R5,Laowa,Laowa 25mm f/2.8,5.0x,8192,5464,1107,1000,µm
Canon EOS R5,Laowa,Laowa 85mm f/5.6,0.5x,8192,5464,925,8,mm
Canon EOS R5,Laowa,Laowa 85mm f/5.6,0.75x,8192,5464,798,5,mm
Canon EOS R5,Laowa,Laowa 85mm f/5.6,1.0x,8192,5464,670,4,mm
Canon EOS R5,Laowa,Laowa 85mm f/5.6,1.5x,8192,5464,633,2,mm
Canon EOS R5,Laowa,Laowa 85mm f/5.6,2.0x,8192,5464,889,2,mm
Canon EOS R5,Mitutoyo,Mitutoyo HR 5.0x,5.0x,8192,5464,1218,1000,µm
Canon EOS R5,Mitutoyo,Mitutoyo 7.5x,7.5x,8192,5464,919,500,µm
Canon EOS R5,Mitutoyo,Mitutoyo HR 10x,10.0x,8192,5464,606,250,µm
Canon EOS R5,Mitutoyo,Mitutoyo 20x,20.0x,8192,5464,967,200,µm
